reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	2	D	2016-04-14	31:48.3	2016-04-14 07:31	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	.
dam	2	D	2016-04-14	38:28.5	2016-04-14 07:38	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1985
dam	2	D	2016-04-14	40:26.1	2016-04-14 07:40	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	583
dam	2	D	2016-04-14	40:35.8	2016-04-14 07:40	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	47
dam	2	D	2016-04-14	43:42.6	2016-04-14 07:43	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	926
dam	2	D	2016-04-14	43:52.6	2016-04-14 07:43	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	48
dam	2	D	2016-04-14	53:44.8	2016-04-14 07:53	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2938
dam	2	D	2016-04-14	59:46.5	2016-04-14 07:59	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1793
dam	2	D	2016-04-14	02:30.3	2016-04-14 08:02	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	811
dam	2	D	2016-04-14	26:50.9	2016-04-14 08:26	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	7248
dam	2	D	2016-04-14	32:37.6	2016-04-14 08:32	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1719
dam	2	D	2016-04-14	41:28.8	2016-04-14 08:41	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2632
dam	2	D	2016-04-14	41:29.2	2016-04-14 08:41	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-14	41:37.5	2016-04-14 08:41	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	40
dam	2	D	2016-04-14	52:16.8	2016-04-14 08:52	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	3173
dam	2	D	2016-04-14	52:17.6	2016-04-14 08:52	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-14	54:31.0	2016-04-14 08:54	America/Vancouver	00:01.2	HR	0000_0000000183225426	7	661
dam	2	D	2016-04-14	10:42.1	2016-04-14 09:10	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4814
